RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+1.23284673944207e+02 +6.90080324894858e+24 +8.14449153883075e+23 +1.00409098380610e+05 +1.21532308489849e-21 +0.00000000000000e+00 +3.90921448404771e+25 +8.00477135016691e+24 +7.02525255427488e+00 +8.47297000193001e+00 +4.68350170284992e+00 
+1.41747416292680e+02 +6.80756307681710e+24 +8.00790846089543e+23 +1.13510033424022e+05 +1.62356522634321e-21 +0.00000000000000e+00 +4.01110858882986e+25 +8.11351915426845e+24 +7.19486002217056e+00 +8.50105006826700e+00 +4.79657334811371e+00 
+1.62975083462065e+02 +6.71409064797759e+24 +7.88236512182566e+23 +1.28462911360800e+05 +2.11736987575369e-21 +0.00000000000000e+00 +4.12926410152747e+25 +8.24246323947972e+24 +7.37896510518758e+00 +8.51786303248855e+00 +4.91931007012505e+00 
+1.87381742286039e+02 +6.62874696855965e+24 +7.75758604606274e+23 +1.45362998924510e+05 +2.72258494313630e-21 +0.00000000000000e+00 +4.27118533773068e+25 +8.39674790155190e+24 +7.58524034809465e+00 +8.54485780653890e+00 +5.05682689872977e+00 
+2.15443469003188e+02 +6.54056564947781e+24 +7.63230380717724e+23 +1.64433000870451e+05 +3.46748389363720e-21 +0.00000000000000e+00 +4.44535730753158e+25 +8.58294811506446e+24 +7.82059798237696e+00 +8.56958241537400e+00 +5.21373198825130e+00 
+2.47707635599171e+02 +6.45997061508090e+24 +7.51549409639834e+23 +1.86164527297836e+05 +4.33617401140225e-21 +0.00000000000000e+00 +4.65542196196913e+25 +8.80256873273358e+24 +8.08243269927727e+00 +8.59553680998395e+00 +5.38828846618484e+00 
+2.84803586843580e+02 +6.38848193655100e+24 +7.38913596244187e+23 +2.10445242577834e+05 +5.45874280966970e-21 +0.00000000000000e+00 +4.93292693479913e+25 +9.07986827726420e+24 +8.40057663432433e+00 +8.64577667676291e+00 +5.60038442288289e+00 
+3.27454916287773e+02 +6.32645855585610e+24 +7.28491782208088e+23 +2.38548215559280e+05 +6.63980432856207e-21 +0.00000000000000e+00 +5.25690204871490e+25 +9.38887271323698e+24 +8.73970637819162e+00 +8.68432384601559e+00 +5.82647091879441e+00 
+3.76493580679247e+02 +6.27833475737674e+24 +7.17554106745506e+23 +2.70154514979714e+05 +8.05339515320257e-21 +0.00000000000000e+00 +5.67602777523924e+25 +9.76177871548226e+24 +9.14220608154032e+00 +8.74963253412674e+00 +6.09480405436022e+00 
+4.32876128108306e+02 +6.26470661089051e+24 +7.05757619649822e+23 +3.05505625776949e+05 +9.91538336078976e-21 +0.00000000000000e+00 +6.26830920562037e+25 +1.02517126815598e+25 +9.65896833082824e+00 +8.87656957072441e+00 +6.43931222055216e+00 
+4.97702356433211e+02 +6.26928031512056e+24 +6.95070466397422e+23 +3.45938209013128e+05 +1.17945312843583e-20 +0.00000000000000e+00 +6.98204292322511e+25 +1.07860548676300e+25 +1.02207692784562e+01 +9.01963271093144e+00 +6.81384618563745e+00 
+5.72236765935022e+02 +6.30528103306383e+24 +6.84699087709963e+23 +3.91809991589809e+05 +1.38089337522655e-20 +0.00000000000000e+00 +7.89265513980824e+25 +1.13980064398901e+25 +1.08677958835271e+01 +9.20883516020505e+00 +7.24519725568472e+00 
+6.57933224657568e+02 +6.39088609681555e+24 +6.73489386271032e+23 +4.43111043681947e+05 +1.61803529661753e-20 +0.00000000000000e+00 +9.13903195819421e+25 +1.21476443776018e+25 +1.16685971143837e+01 +9.48921575765362e+00 +7.77906474292247e+00 
+7.56463327554629e+02 +6.54251319541017e+24 +6.22129131411686e+23 +4.70617872916355e+05 +1.90738153755190e-20 +0.00000000000000e+00 +9.91872707438707e+25 +1.19479732163403e+25 +1.26532707835716e+01 +1.05163266998355e+01 +8.43551385571438e+00 
+8.69749002617783e+02 +7.90711413808076e+24 +5.99071099677380e+23 +5.21041491441540e+05 +1.93679430379062e-20 +0.00000000000000e+00 +1.01669907629935e+26 +1.04985266937598e+25 +1.36030412853381e+01 +1.31989577569991e+01 +9.06869419022537e+00 
+1.00000000000000e+03 +9.23931940870215e+24 +6.33186028275166e+23 +6.33186028275166e+05 +2.25220116244636e-20 +0.00000000000000e+00 +1.29919325568851e+26 +1.17073249759945e+25 +1.52851838509494e+01 +1.45917929267495e+01 +1.01901225672996e+01 
